arch,ARI_raw,ARI_combined,h_std_final,h_std_min,time_s
GCN,0.41998935575607477,0.43376964274785634,1.8936634063720703,1.6777548789978027,41.311965465545654
GAT_v3,0.1914281875988812,0.4734714020928676,0.9690679907798767,0.33068543672561646,96.29200673103333
GraphSAGE,0.17904768789909178,0.4650661393220039,0.7212676405906677,0.4823388159275055,50.71790027618408
MLP,0.17507629586607484,0.4266469668726916,1.0513464212417603,0.48020845651626587,49.973665714263916
